amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
129526.58,0,0,2103690.88,2233217.46,0,0,0,0,1
304210.97,6638620.67,6942831.64,513871.6,209660.63,0,0,0,0,0
57905.63,188,0,611506.02,669411.65,0,1,0,0,0
83102.7,2274365.81,2357468.51,122204.31,39101.61,0,0,0,0,0
14341.19,459181,444839.81,0,0,0,0,0,1,0
10212.21,10715,502.79,0,0,0,0,0,1,0
4557.25,0,0,0,0,0,0,0,1,0
300262.27,1635562.54,1935824.81,629770.37,329508.1,0,0,0,0,0
4333.46,0,0,0,0,0,0,0,1,0
27570.04,5912789.84,5940359.87,668281.5,640711.47,0,0,0,0,0
125625.28,177,125802.28,8756000.07,8630374.8,0,0,0,0,0
3698.47,0,0,0,0,0,0,0,1,0
27340.72,0,0,3725266.18,3752606.9,0,1,0,0,0
138134.16,2608233.65,2746367.81,596550.46,1405639.92,0,0,0,0,0
50831.12,101925.18,51094.07,4747823.38,4798654.5,0,1,0,0,0
112011.6,1379,0,1672527.32,1784538.92,0,1,0,0,0
29967.16,0,0,0,0,0,0,0,1,0
9424.72,133260.93,123836.22,0,0,0,0,0,1,0
223677.16,1045526.95,1269204.11,223761.34,84.18,0,0,0,0,0
95769.89,148,95917.89,59688.08,0,0,0,0,0,0
102054.71,9137,0,2212666.22,2314720.93,0,1,0,0,0
10876.64,0,0,0,0,0,0,0,1,0
158955.62,1176287.6,1335243.21,493872.2,334916.58,0,0,0,0,0
42823.75,16824.64,0,0,0,0,0,0,1,0
352024.39,21357,0,42722,683021.46,0,0,0,0,1
99695.87,0,0,547596.11,647291.98,0,1,0,0,0
270417.12,0,0,575972.93,846390.05,0,1,0,0,0
263424.16,0,0,2122403.11,2385827.28,0,1,0,0,0
325346.76,47403,0,401687.62,727034.38,0,1,0,0,0
217798.8,0,0,7384900.21,7602699.01,0,1,0,0,0
494111.72,0,0,1644885.38,2282997.31,0,0,0,0,1
41979.73,131140,89160.27,0,0,0,0,0,1,0
205137.78,30198,0,0,205137.78,0,1,0,0,0
19152.89,0,0,0,0,0,0,0,1,0
8536.67,0,0,0,0,0,0,0,1,0
10435.02,0,0,0,0,0,0,0,1,0
1686693.14,7436,0,369296.37,2080397.02,0,0,0,0,1
9935.67,10993,1057.33,0,0,0,0,0,1,0
237575.23,1927621.11,2165196.34,1503778.69,1266203.46,0,0,0,0,0
6091.3,103618,97526.7,0,0,0,0,0,1,0
169524.78,113,0,176099.88,345624.66,0,1,0,0,0
14775.82,20726,5950.18,0,0,0,0,0,1,0
5231.64,7336289.03,7341520.67,564988.14,358587.55,0,0,0,0,0
4822.32,342073.16,337250.85,0,0,0,0,0,1,0
3329.57,96953.08,93623.51,0,0,0,0,0,1,0
48309.67,15740,64049.67,290433.9,242124.22,0,0,0,0,0
147921.61,5289243.42,5437165.03,1287128.96,1139207.35,0,0,0,0,0
220706.1,7053530.01,7274236.11,1530894.57,1310188.46,0,0,0,0,0
101731.05,4915619.63,5017350.68,1120575.95,1018844.9,0,0,0,0,0
88951.87,0,0,566243.37,655195.24,0,1,0,0,0
20422.93,0,0,294184.98,366640.44,0,1,0,0,0
1295780.57,0,0,5592459.71,6888240.28,0,0,0,0,1
86818.32,6600,93418.32,753240.68,666422.36,0,0,0,0,0
1904.73,354459,352554.27,0,0,0,0,0,1,0
1047002.58,0,0,1181374.37,2228376.95,0,0,0,0,1
158572.43,1876241.61,1717669.18,533077.84,848604.22,0,1,0,0,0
4362.36,479614.82,475252.46,0,0,0,0,0,1,0
22363.48,213579,235942.48,702211.89,679848.41,0,0,0,0,0
975.99,36806,35830.01,0,0,0,0,0,1,0
11785.84,0,0,0,0,0,0,0,1,0
26072.67,102990,76917.33,0,0,0,0,0,1,0
206301.22,0,0,395301.33,601602.55,0,1,0,0,0
306764.18,0,0,2230109.38,2536873.56,0,1,0,0,0
178801.05,159,178960.05,568386.05,389585,0,0,0,0,0
342948.49,8685941.98,9028890.47,3893756.16,3550807.67,0,0,0,0,0
579543.62,0,0,1761150.33,2340693.95,0,0,0,0,1
54541.23,0,0,19264820.06,19319361.29,0,1,0,0,0
3719.52,30066,26346.48,554264.77,557984.29,0,0,1,0,0
10525.88,24782.46,14256.58,0,0,0,0,0,1,0
28013,17680,0,0,0,0,0,0,1,0
218483.07,0,0,2188247.42,2406730.49,0,1,0,0,0
1357365.82,0,0,8539675.66,9897041.48,0,0,0,0,1
846.74,523169.43,522322.69,0,0,0,0,0,1,0
325867.83,0,0,4412358.94,4838577.59,0,1,0,0,0
17683.86,140481.1,122797.24,0,0,0,0,0,1,0
32430.24,0,0,0,0,0,0,0,1,0
14363.16,17217,2853.84,0,0,0,0,0,1,0
72650.91,101,0,749491.82,822142.74,0,0,0,0,1
34572.14,5025,39597.14,0,0,0,0,0,0,0
185313.81,28691,0,190979.92,376293.73,0,1,0,0,0
863.3,20780,19916.7,0,0,0,0,0,1,0
91733.96,439380,347646.04,656977.36,748711.32,0,1,0,0,0
313360.76,0,0,4680289.3,4993650.05,0,1,0,0,0
10939.96,50270,39330.04,0,0,0,0,0,1,0
75320.12,0,0,247795.73,323115.85,0,1,0,0,0
150055.9,0,0,2290860.86,2138510.96,0,1,0,0,0
52770.86,0,0,0,0,0,0,0,1,0
179706.01,9887,189593.01,2450527.7,2270821.7,0,0,0,0,0
111124.41,0,0,3880684.48,3991808.9,0,1,0,0,0
